Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
29.0,Male,120.9,1.78,197,168,65,0.78,721.0,Yoga,28.1,3.4,2.0,1,38.16
39.0,Female,64.3,1.69,190,148,58,1.25,925.0,HIIT,,1.9,4.0,2,22.51
,Female,63.7,1.71,173,169,62,1.42,1080.0,Yoga,26.1,1.8,3.0,2,21.78
44.0,Male,65.2,1.8,192,139,68,0.73,502.0,HIIT,27.2,2.7,2.0,1,20.12
59.0,Male,53.9,1.75,168,135,69,1.48,989.0,Strength,21.6,2.8,4.0,2,17.6
,Male,84.9,1.86,186,136,66,1.64,1104.0,HIIT,,3.5,5.0,3,24.54
33.0,Female,78.0,1.68,183,135,55,1.29,871.0,HIIT,32.3,1.8,3.0,2,27.64
32.0,Male,108.2,1.8,172,138,53,1.27,964.0,HIIT,28.4,3.5,3.0,1,33.4
20.0,Female,65.4,1.52,185,127,50,1.03,654.0,Yoga,28.0,2.2,4.0,2,28.31
54.0,Female,50.2,1.61,188,157,67,1.48,1046.0,HIIT,28.2,2.7,,1,19.37
24.0,Female,58.9,1.51,187,157,68,1.04,816.0,Cardio,31.7,2.5,2.0,1,25.83
38.0,Male,81.4,1.71,187,148,58,1.52,1237.0,HIIT,10.2,3.5,5.0,3,27.84
26.0,Male,127.6,1.73,167,160,62,1.32,1162.0,Strength,27.3,2.9,3.0,1,42.63
56.0,Female,59.3,1.56,182,155,57,1.26,879.0,Cardio,33.4,2.6,4.0,2,24.37
35.0,Male,96.9,1.71,188,145,72,1.34,1069.0,Strength,24.2,2.9,3.0,2,33.14
21.0,Male,62.6,1.81,164,150,62,1.3,1072.0,Strength,27.6,3.5,4.0,2,19.11
42.0,Male,45.5,1.6,166,163,64,1.31,1057.0,Strength,21.7,2.6,3.0,2,17.77
31.0,Female,48.8,1.51,195,131,60,1.48,969.0,Cardio,28.2,2.0,2.0,1,21.4
26.0,Female,44.3,1.6,186,136,61,1.08,734.0,Cardio,,2.0,3.0,1,17.3
43.0,Male,113.2,1.83,161,134,63,1.45,962.0,Yoga,29.9,2.9,4.0,2,33.8
19.0,Female,60.5,1.59,184,128,53,1.14,730.0,Cardio,30.1,2.2,2.0,1,23.93
37.0,Male,124.2,1.76,168,158,50,1.5,1304.0,HIIT,29.3,2.8,2.0,1,40.1
45.0,Male,52.4,1.85,186,161,73,1.2,956.0,Strength,25.2,2.5,3.0,1,15.31
24.0,Male,54.7,1.74,160,167,53,0.84,772.0,Yoga,22.9,3.6,3.0,1,18.07
25.0,Male,88.1,1.95,182,131,68,1.41,1016.0,Cardio,22.7,3.0,2.0,1,23.17
52.0,Female,59.7,1.71,169,151,58,1.23,836.0,Strength,34.3,2.0,3.0,1,20.42
31.0,Female,79.7,1.54,184,144,59,1.03,742.0,Cardio,26.7,2.3,4.0,2,33.61
34.0,Female,51.0,1.62,162,158,53,1.42,1122.0,Yoga,30.8,2.4,3.0,2,19.43
53.0,Male,84.2,1.76,165,137,69,1.67,1133.0,Cardio,12.8,3.5,5.0,3,27.18
57.0,Male,122.1,1.89,165,134,58,1.13,750.0,Cardio,27.4,3.6,3.0,1,34.18
21.0,Male,96.7,1.72,161,151,62,1.26,1046.0,Strength,25.0,2.8,3.0,1,32.69
19.0,Female,73.0,1.79,177,125,61,0.81,506.0,HIIT,27.7,1.6,3.0,1,22.78
,Male,114.8,1.6,182,163,60,1.47,1318.0,Cardio,21.7,2.7,4.0,2,44.84
59.0,Female,65.5,1.52,161,162,61,1.4,1021.0,Yoga,31.2,2.1,3.0,2,28.35
21.0,Female,50.3,1.52,171,154,67,1.08,832.0,Cardio,32.2,2.6,3.0,1,21.77
46.0,Female,61.0,1.71,181,153,61,1.67,1150.0,Cardio,17.8,2.7,4.0,3,20.86
35.0,Female,44.6,1.62,196,157,65,0.56,440.0,HIIT,32.4,2.0,2.0,1,16.99
43.0,Female,58.2,1.61,179,124,54,1.04,580.0,Strength,,2.6,3.0,2,22.45
51.0,Female,44.8,1.63,198,137,69,1.08,666.0,Yoga,33.8,2.1,4.0,2,16.86
27.0,Male,87.5,1.63,183,135,74,1.75,1299.0,Strength,12.9,3.5,5.0,3,32.93
53.0,Male,51.8,1.74,179,127,61,1.23,773.0,Strength,21.3,3.7,3.0,2,17.11
31.0,Female,64.4,1.7,160,144,70,1.97,1418.0,Strength,,2.7,5.0,3,22.28
48.0,Female,67.1,1.61,160,151,74,0.62,421.0,Cardio,33.4,1.5,2.0,1,25.89
32.0,Male,85.9,1.6,176,145,60,1.99,1587.0,HIIT,14.5,3.5,5.0,3,33.55
25.0,Female,65.4,1.77,160,141,58,0.89,627.0,Cardio,27.6,2.6,3.0,1,20.88
31.0,Female,61.1,1.76,189,150,67,1.81,1358.0,Yoga,18.6,2.7,4.0,3,19.72
40.0,Male,106.5,1.65,162,162,74,1.32,1176.0,HIIT,21.0,3.6,4.0,2,39.12
57.0,Female,64.0,1.52,170,129,52,1.73,1004.0,Strength,15.2,2.7,5.0,3,27.7
38.0,Female,61.4,1.54,183,131,69,1.47,963.0,HIIT,30.6,2.7,3.0,2,25.89
33.0,Female,40.5,1.63,181,147,66,1.07,786.0,Yoga,31.9,1.5,4.0,2,15.24
35.0,Male,70.1,1.79,185,125,63,1.08,743.0,Cardio,28.0,2.3,3.0,2,21.88
41.0,Male,94.1,1.62,172,139,50,1.13,777.0,Cardio,23.4,3.1,4.0,2,35.86
43.0,Male,55.5,1.82,160,124,66,1.08,663.0,Strength,20.1,2.0,3.0,1,16.76
42.0,Female,53.7,1.72,183,142,74,1.37,875.0,Cardio,29.8,1.6,3.0,1,18.15
58.0,Female,66.1,1.75,169,128,57,0.63,363.0,Cardio,25.2,1.8,2.0,1,21.58
46.0,Male,103.9,1.77,194,148,54,1.18,864.0,Yoga,20.9,2.9,2.0,1,33.16
32.0,Female,61.7,1.58,183,135,54,1.87,1262.0,HIIT,16.6,2.7,5.0,3,24.72
18.0,Female,52.3,1.74,187,165,58,1.2,990.0,Cardio,29.4,2.2,2.0,1,17.27
42.0,Female,59.5,1.74,195,141,52,1.78,1129.0,Yoga,16.4,2.7,5.0,3,19.65
24.0,Female,72.9,1.76,175,127,68,0.86,546.0,Yoga,30.8,1.5,3.0,1,23.53
26.0,Female,76.7,1.63,199,139,72,1.08,751.0,Strength,25.6,1.7,2.0,1,28.87
41.0,Male,72.1,1.83,175,133,58,1.13,744.0,Yoga,21.4,2.8,3.0,2,21.53
18.0,Female,54.8,1.68,176,158,71,1.27,1003.0,Strength,32.0,2.2,4.0,2,19.42
25.0,Male,105.0,1.88,174,156,67,1.34,1150.0,Cardio,21.4,2.3,3.0,2,29.71
41.0,Female,55.0,1.55,175,169,65,1.45,1103.0,Strength,,2.0,4.0,2,22.89
28.0,Male,81.6,1.66,174,153,50,1.09,917.0,Yoga,20.5,3.5,4.0,2,29.61
34.0,Female,75.6,1.6,193,130,51,0.64,416.0,HIIT,29.1,2.7,2.0,1,29.53
25.0,Male,81.5,1.61,170,159,63,1.93,1688.0,HIIT,10.9,3.5,4.0,3,31.44
52.0,Female,61.5,1.69,160,152,63,1.8,1231.0,Cardio,15.5,2.7,4.0,3,21.53
52.0,Male,74.0,1.63,174,150,50,1.26,936.0,Cardio,25.7,3.7,3.0,2,27.85
50.0,Female,56.4,1.59,185,163,74,1.26,924.0,HIIT,34.3,2.6,3.0,1,22.31
22.0,Male,102.6,1.84,163,153,65,1.25,1052.0,Strength,20.5,2.7,3.0,2,30.3
59.0,Female,54.6,1.57,164,169,64,0.58,441.0,Cardio,29.2,2.3,3.0,1,22.15
56.0,Male,129.0,1.78,194,126,64,1.29,805.0,Yoga,27.1,2.7,2.0,1,40.71
58.0,Male,103.5,1.66,172,168,61,1.33,1106.0,Cardio,24.6,3.1,3.0,1,37.56
45.0,Female,59.4,1.51,169,142,65,1.15,735.0,Strength,33.1,1.9,4.0,2,26.05
24.0,Female,60.1,1.79,170,165,63,1.97,1625.0,Cardio,15.9,2.7,4.0,3,18.76
26.0,Male,77.7,1.62,177,126,73,1.16,804.0,Yoga,29.6,3.0,3.0,2,29.61
25.0,Female,41.2,1.62,193,144,64,1.49,1073.0,Yoga,28.9,2.1,4.0,2,15.7
29.0,Male,58.6,1.61,198,122,72,1.2,805.0,Yoga,23.4,2.0,3.0,2,22.61
51.0,Male,109.3,1.78,182,157,64,0.54,420.0,Strength,28.7,3.3,3.0,1,34.5
50.0,Male,69.6,1.96,166,139,68,0.97,667.0,Strength,25.6,2.0,3.0,1,18.12
40.0,Female,56.2,1.79,198,153,57,1.79,1369.0,Yoga,17.6,2.7,5.0,3,17.54
,Male,71.7,1.96,162,168,51,0.51,424.0,Yoga,27.3,2.5,2.0,1,18.66
,Male,86.0,1.93,171,163,51,1.74,1404.0,Strength,12.9,3.5,5.0,3,23.09
52.0,Female,79.4,1.59,166,163,59,1.39,1020.0,Strength,26.6,1.5,3.0,2,31.41
57.0,Female,78.4,1.62,185,149,52,1.01,677.0,Strength,31.7,2.0,4.0,2,29.87
39.0,Female,55.4,1.6,192,136,72,1.44,979.0,HIIT,26.3,1.6,3.0,2,21.64
44.0,Female,61.7,1.55,196,129,66,1.41,819.0,Strength,33.1,2.6,4.0,2,25.68
52.0,Male,85.5,1.82,174,154,57,1.78,1357.0,Yoga,14.9,3.5,4.0,3,25.81
18.0,Male,87.6,1.93,161,139,72,1.72,1315.0,HIIT,11.9,3.5,4.0,3,23.52
52.0,Male,82.4,1.72,166,137,53,1.01,685.0,Strength,24.4,2.7,4.0,2,27.85
54.0,Male,67.0,1.68,191,164,63,0.55,446.0,Yoga,20.5,2.8,3.0,1,23.74
31.0,Female,42.3,1.6,163,163,70,1.09,888.0,Cardio,25.1,1.9,3.0,2,16.52
20.0,Male,82.7,1.99,179,146,59,1.69,1357.0,HIIT,,3.5,5.0,3,20.88
18.0,Male,92.4,1.74,195,168,50,1.41,1303.0,Yoga,21.3,3.1,2.0,1,30.52
22.0,Female,63.2,1.54,191,155,53,1.02,790.0,Cardio,29.5,2.4,4.0,2,26.65
43.0,Male,82.7,1.85,187,142,50,1.22,858.0,Yoga,28.2,3.1,4.0,2,24.16
31.0,Male,86.6,1.76,172,151,66,1.29,1071.0,Strength,28.9,3.3,3.0,2,27.96
56.0,Male,129.5,1.95,160,129,66,1.0,639.0,Strength,25.2,3.5,2.0,1,34.06
44.0,Male,98.0,1.83,194,130,56,1.28,824.0,Cardio,25.7,3.5,4.0,2,29.26
26.0,Male,86.2,1.68,189,157,72,1.97,1701.0,Strength,13.3,3.5,5.0,3,30.54
32.0,Male,78.6,1.62,195,125,69,1.28,880.0,Yoga,29.6,3.1,,1,29.95
32.0,Female,59.0,1.66,184,160,64,0.51,408.0,Cardio,31.0,1.8,2.0,1,21.41
43.0,Female,57.3,1.79,175,166,62,1.98,1479.0,Yoga,17.8,2.7,4.0,3,17.88
59.0,Male,122.3,1.89,178,153,51,0.66,500.0,Yoga,20.1,3.1,,1,34.24
30.0,Male,85.3,1.95,160,155,68,1.61,1373.0,Yoga,10.4,3.5,,3,22.43
49.0,Female,45.2,1.74,164,156,73,1.24,870.0,Strength,30.8,2.1,3.0,2,14.93
56.0,Male,55.6,1.92,181,136,62,0.68,458.0,Strength,29.4,3.2,3.0,1,15.08
49.0,Male,82.8,1.95,183,159,73,1.91,1503.0,Yoga,14.3,3.5,5.0,3,21.78
21.0,Male,125.2,1.66,196,159,60,1.38,1207.0,HIIT,29.8,3.4,3.0,2,45.43
47.0,Female,58.5,1.79,195,131,71,1.42,837.0,Yoga,30.3,2.4,4.0,2,18.26
54.0,Male,86.1,1.95,195,140,64,1.17,811.0,Yoga,27.9,3.4,2.0,1,22.64
40.0,Female,63.5,1.61,163,159,59,1.31,1041.0,Cardio,33.4,1.6,3.0,2,24.5
56.0,Male,69.3,1.68,195,138,58,0.66,451.0,Yoga,26.5,2.1,2.0,1,24.55
32.0,Female,70.5,1.62,177,122,58,1.24,756.0,Strength,28.4,1.8,2.0,1,26.86
46.0,Female,60.1,1.65,175,137,69,1.69,1042.0,Cardio,17.3,2.7,4.0,3,22.08
53.0,Male,94.1,1.95,177,138,50,0.89,608.0,HIIT,,3.5,3.0,1,24.75
30.0,Female,79.2,1.62,181,166,66,1.26,1046.0,Cardio,28.0,2.5,4.0,2,30.18
49.0,Male,115.3,1.91,161,125,61,1.38,854.0,HIIT,29.2,3.2,2.0,1,31.61
24.0,Female,62.9,1.79,180,135,59,1.42,958.0,Cardio,27.3,2.3,4.0,2,19.63
39.0,Male,62.0,1.64,195,127,54,0.97,678.0,Cardio,27.5,3.2,3.0,1,23.05
45.0,Male,88.5,1.78,198,167,67,1.53,1265.0,HIIT,13.2,3.5,4.0,3,27.93
19.0,Female,73.9,1.77,198,137,64,1.28,877.0,Strength,32.5,2.6,3.0,2,23.59
59.0,Male,50.3,1.95,188,167,55,1.07,885.0,Strength,24.4,3.4,3.0,1,13.23
23.0,Male,83.1,1.8,185,162,56,0.7,624.0,Strength,29.3,3.1,3.0,1,25.65
45.0,Female,65.1,1.78,180,158,66,1.46,1038.0,Cardio,31.3,2.3,3.0,1,20.55
45.0,Male,46.6,1.79,176,168,55,1.46,1214.0,Yoga,22.9,2.4,3.0,2,14.54
37.0,Male,103.5,1.89,175,168,57,0.54,499.0,Cardio,26.4,3.1,,1,28.97
47.0,Female,61.9,1.54,190,131,61,1.95,1150.0,Yoga,16.4,2.7,4.0,3,26.1
28.0,Female,52.0,1.61,168,164,70,1.32,1082.0,Yoga,27.9,2.0,3.0,2,20.06
45.0,Male,113.4,1.71,190,129,63,0.83,530.0,Strength,24.0,2.3,2.0,1,38.78
42.0,Male,62.9,1.98,173,126,61,1.42,886.0,Yoga,28.5,3.4,4.0,2,16.04
56.0,Female,40.4,1.8,196,165,72,1.23,913.0,Cardio,30.0,2.1,4.0,2,12.47
50.0,Female,67.1,1.75,161,120,59,0.67,362.0,Cardio,31.8,2.7,3.0,1,21.91
18.0,Male,70.0,1.61,173,168,71,1.3,1201.0,Strength,23.9,2.5,2.0,1,27.01
44.0,Female,69.5,1.75,192,155,69,1.02,711.0,HIIT,27.6,2.1,3.0,1,22.69
,Male,107.9,1.66,194,140,64,1.08,832.0,Cardio,29.5,2.8,3.0,2,39.16
58.0,Male,109.0,1.91,198,156,56,1.49,1151.0,Yoga,26.0,2.2,3.0,2,29.88
20.0,Male,101.0,1.91,179,143,58,1.36,1070.0,Cardio,29.3,2.7,3.0,2,27.69
56.0,Male,88.5,1.85,161,144,59,1.57,1119.0,Cardio,11.0,3.5,4.0,3,25.86
23.0,Male,80.9,1.8,178,126,59,1.55,1074.0,Cardio,10.7,3.5,4.0,3,24.97
25.0,Female,43.1,1.62,196,161,65,1.04,837.0,HIIT,33.6,1.8,4.0,2,16.42
44.0,Female,59.1,1.52,177,136,56,1.58,967.0,Yoga,18.4,2.7,5.0,3,25.58
26.0,Female,54.0,1.53,175,148,54,1.14,844.0,Strength,26.9,1.7,3.0,1,23.07
54.0,Female,72.3,1.78,163,149,72,1.27,852.0,Cardio,27.7,1.8,2.0,1,22.82
50.0,Male,51.1,1.98,171,126,52,0.92,574.0,Yoga,28.0,2.4,2.0,1,13.03
59.0,Male,89.4,1.72,188,152,67,1.08,813.0,Yoga,24.5,3.2,3.0,1,30.22
41.0,Male,51.5,1.8,166,126,60,1.09,680.0,Strength,26.7,2.1,4.0,2,15.9
32.0,Male,87.9,1.88,173,143,64,1.52,1195.0,Cardio,11.6,3.5,5.0,3,24.87
49.0,Female,42.0,1.52,171,130,70,1.1,644.0,HIIT,28.8,2.2,3.0,1,18.18
49.0,Male,79.2,1.72,194,128,69,1.46,925.0,Yoga,29.9,3.3,3.0,1,26.77
41.0,Male,64.8,1.71,164,131,54,1.2,778.0,Strength,22.5,2.8,3.0,2,22.16
,Female,63.0,1.78,176,154,73,1.58,1095.0,HIIT,17.5,2.7,4.0,3,19.88
29.0,Female,56.2,1.77,191,123,61,0.68,418.0,Yoga,33.4,2.6,3.0,1,17.94
56.0,Female,52.9,1.64,169,155,53,1.1,767.0,Cardio,27.4,2.3,3.0,2,19.67
19.0,Female,49.0,1.69,176,147,64,1.05,772.0,Yoga,29.2,2.4,3.0,1,17.16
20.0,Male,128.2,1.84,164,132,58,0.83,603.0,HIIT,26.2,2.3,3.0,1,37.87
54.0,Male,83.6,1.86,168,142,56,1.54,1082.0,HIIT,12.4,3.5,5.0,3,24.16
34.0,Female,56.2,1.77,192,138,59,1.81,1249.0,Cardio,17.3,2.7,5.0,3,17.94
19.0,Male,87.8,1.78,195,161,72,1.28,1133.0,Cardio,23.6,3.3,2.0,1,27.71
19.0,Male,85.9,1.85,195,156,62,1.66,1424.0,Strength,12.9,3.5,4.0,3,25.1
45.0,Male,51.1,1.87,177,158,57,1.44,1126.0,Cardio,26.2,3.4,4.0,2,14.61
40.0,Female,57.4,1.71,168,143,61,1.87,1337.0,Strength,18.3,2.7,5.0,3,19.63
54.0,Male,114.9,1.92,188,135,71,1.2,802.0,HIIT,20.7,2.6,4.0,2,31.17
49.0,Female,62.1,1.66,173,152,73,1.37,937.0,HIIT,31.3,1.8,3.0,2,22.54
50.0,Male,57.1,1.91,184,131,68,1.09,707.0,Yoga,29.5,2.7,4.0,2,15.65
18.0,Male,68.1,1.8,174,153,50,1.1,926.0,Yoga,25.4,3.3,4.0,2,21.02
36.0,Male,69.2,1.65,165,126,65,1.23,852.0,Strength,27.2,2.7,3.0,1,25.42
19.0,Female,65.2,1.52,188,130,71,1.23,800.0,Cardio,30.6,2.4,3.0,1,28.22
43.0,Male,108.6,1.73,174,150,66,1.33,988.0,Cardio,28.5,2.2,2.0,1,36.29
49.0,Female,40.0,1.65,188,148,74,1.03,686.0,Yoga,34.3,2.5,3.0,2,14.69
23.0,Female,41.9,1.58,163,132,67,0.56,370.0,HIIT,26.8,1.8,3.0,1,16.78
49.0,Female,68.3,1.52,177,150,60,1.45,979.0,Strength,29.4,1.8,4.0,2,29.56
21.0,Male,88.4,1.6,198,121,67,1.71,1138.0,HIIT,12.0,3.5,4.0,3,34.53
28.0,Male,66.0,1.9,175,158,56,1.18,1025.0,HIIT,24.1,3.0,3.0,1,18.28
34.0,Male,71.9,1.64,170,134,67,1.26,929.0,Cardio,21.3,2.1,4.0,2,26.73
55.0,Male,75.6,1.71,173,130,57,1.03,663.0,Strength,28.1,2.0,4.0,2,25.85
41.0,Female,63.4,1.59,162,153,55,1.84,1267.0,HIIT,15.2,2.7,5.0,3,25.08
22.0,Female,71.6,1.77,197,158,56,1.49,1177.0,Yoga,30.3,1.8,3.0,1,22.85
51.0,Female,57.4,1.77,177,123,72,1.08,598.0,Yoga,31.6,2.1,4.0,2,18.32
23.0,Male,83.8,1.99,179,130,71,1.79,1280.0,Cardio,11.0,3.5,4.0,3,21.16
39.0,Female,55.9,1.71,184,148,59,1.95,1443.0,Yoga,19.5,2.7,5.0,3,19.12
28.0,Male,87.0,1.76,197,121,60,1.2,799.0,Yoga,,3.5,3.0,2,28.09
33.0,Female,65.3,1.71,172,135,74,1.18,796.0,HIIT,29.7,2.5,4.0,2,22.33
50.0,Male,45.4,1.67,163,158,62,1.37,1071.0,Yoga,24.1,2.8,4.0,2,16.28
26.0,Male,87.1,1.87,173,132,58,1.71,1241.0,Yoga,11.2,3.5,4.0,3,24.91
,Female,78.6,1.73,192,156,56,1.47,1147.0,HIIT,32.3,1.5,4.0,2,26.26
33.0,Female,78.0,1.71,187,136,58,1.08,734.0,Cardio,26.3,2.1,3.0,1,26.67
46.0,Female,58.0,1.53,196,140,62,1.83,1153.0,Cardio,18.4,2.7,4.0,3,24.78
20.0,Female,71.3,1.69,167,163,52,1.28,1043.0,Strength,33.4,2.3,3.0,2,24.96
37.0,Male,49.1,1.74,193,138,52,1.11,842.0,Yoga,22.3,2.6,3.0,2,16.22
,Female,78.3,1.65,164,126,50,1.24,703.0,HIIT,33.7,1.6,3.0,1,28.76
36.0,Female,57.3,1.64,164,157,70,1.13,887.0,Strength,25.3,1.8,4.0,2,21.3
43.0,Female,48.4,1.61,190,127,69,1.28,732.0,Cardio,34.1,2.4,2.0,1,18.67
20.0,Male,76.4,1.62,168,132,51,1.35,980.0,Cardio,21.2,2.6,4.0,2,29.11
36.0,Male,110.2,1.77,191,156,74,1.19,1021.0,HIIT,26.5,3.4,2.0,1,35.18
37.0,Female,72.9,1.76,192,121,52,1.21,732.0,Strength,27.5,1.9,3.0,2,23.53
49.0,Male,82.1,1.86,162,160,64,1.87,1481.0,Strength,14.2,3.5,4.0,3,23.73
24.0,Female,58.9,1.76,189,130,73,0.63,410.0,HIIT,30.1,1.7,3.0,1,19.01
58.0,Male,82.2,1.87,171,143,55,1.57,1111.0,HIIT,10.7,3.5,4.0,3,23.51
50.0,Male,96.7,1.72,188,125,62,1.46,903.0,Strength,25.7,2.7,3.0,2,32.69
57.0,Male,81.4,1.86,162,145,70,1.8,1292.0,Cardio,12.0,3.5,5.0,3,23.53
56.0,Male,107.8,1.73,185,126,50,1.09,680.0,Yoga,26.6,2.8,3.0,2,36.02
35.0,Female,65.8,1.62,189,158,69,1.0,790.0,Cardio,33.8,1.5,4.0,2,25.07
57.0,Female,68.5,1.56,168,138,68,1.45,900.0,HIIT,29.1,1.6,4.0,2,28.15
18.0,Female,63.9,1.59,185,125,50,1.87,1169.0,Strength,16.4,2.7,4.0,3,25.28
28.0,Male,76.3,1.62,161,162,70,1.16,1034.0,Strength,,2.3,3.0,2,29.07
45.0,Female,44.5,1.65,162,148,71,1.44,959.0,Yoga,30.7,1.6,3.0,1,16.35
42.0,Female,50.7,1.75,163,162,51,1.29,940.0,Strength,29.0,1.9,3.0,2,16.56
40.0,Female,55.1,1.61,184,158,64,1.55,1224.0,Yoga,16.9,2.7,4.0,3,21.26
48.0,Male,73.7,1.61,172,121,63,1.36,815.0,Cardio,21.8,3.6,4.0,2,28.43
47.0,Male,55.6,1.77,198,138,68,1.2,820.0,Cardio,24.3,2.9,4.0,2,17.75
59.0,Male,86.9,1.76,194,123,60,1.13,688.0,Strength,29.8,3.1,3.0,2,28.05
52.0,Female,60.3,1.68,182,125,64,1.6,900.0,Strength,16.5,2.7,4.0,3,21.36
24.0,Female,40.4,1.64,168,168,55,0.99,832.0,HIIT,31.0,1.9,2.0,1,15.02
33.0,Female,78.5,1.66,161,156,69,1.29,1006.0,HIIT,32.8,1.9,4.0,2,28.49
43.0,Male,102.6,1.72,190,147,58,0.82,597.0,Strength,27.5,2.0,2.0,1,34.68
19.0,Male,110.8,1.91,161,149,54,1.31,1074.0,Strength,23.3,2.9,2.0,1,30.37
18.0,Female,60.9,1.79,191,126,69,1.11,699.0,Cardio,31.1,2.1,,1,19.01
29.0,Male,55.7,1.61,177,128,51,1.41,993.0,Strength,28.7,2.3,3.0,1,21.49
22.0,Male,110.5,1.92,172,144,55,1.16,919.0,HIIT,20.2,3.3,3.0,2,29.98
54.0,Male,55.2,1.71,164,152,67,0.77,579.0,Cardio,24.4,2.8,2.0,1,18.88
49.0,Male,46.5,1.72,169,120,72,1.4,832.0,Yoga,22.2,2.6,4.0,2,15.72
26.0,Female,70.9,1.66,184,125,68,0.81,506.0,HIIT,28.9,1.7,3.0,1,25.73
58.0,Male,74.6,1.75,193,137,58,1.09,739.0,HIIT,24.2,2.9,2.0,1,24.36
52.0,Male,45.1,1.72,196,129,70,0.93,594.0,Cardio,27.5,3.3,2.0,1,15.24
36.0,Male,99.9,1.99,189,147,73,1.33,1075.0,Yoga,20.9,2.5,3.0,1,25.23
33.0,Male,117.0,1.61,166,130,55,1.04,744.0,HIIT,25.1,2.4,3.0,2,45.14
20.0,Female,75.9,1.73,165,152,63,1.39,1056.0,Strength,30.6,2.1,4.0,2,25.36
37.0,Female,71.2,1.64,162,120,73,1.11,666.0,HIIT,29.9,1.7,3.0,2,26.47
41.0,Male,78.8,1.72,172,132,62,1.01,660.0,Cardio,27.3,3.1,4.0,2,26.64
50.0,Male,50.6,1.69,162,156,60,1.31,1012.0,Cardio,23.8,3.0,2.0,1,17.72
41.0,Male,82.5,1.79,185,139,61,1.69,1163.0,Cardio,14.7,3.5,4.0,3,25.75
28.0,Male,108.5,1.79,183,120,68,1.33,878.0,HIIT,24.8,2.1,4.0,2,33.86
25.0,Male,49.9,1.98,165,122,68,1.15,772.0,Yoga,25.7,2.1,3.0,2,12.73
53.0,Male,125.1,1.91,171,137,70,0.52,353.0,Strength,28.3,3.1,2.0,1,34.29
55.0,Female,79.7,1.66,195,160,68,1.06,763.0,Cardio,27.8,1.9,,1,28.92
57.0,Male,126.8,1.63,161,133,73,0.96,632.0,Yoga,20.8,2.1,2.0,1,47.72
37.0,Female,54.6,1.57,170,150,62,1.31,982.0,Strength,32.1,2.4,3.0,1,22.15
52.0,Female,47.8,1.54,198,146,63,1.34,880.0,Cardio,29.8,1.9,3.0,2,20.16
42.0,Male,97.9,1.91,193,136,73,1.01,680.0,Strength,29.0,2.8,3.0,2,26.84
52.0,Female,63.1,1.54,185,165,67,1.36,1010.0,Strength,34.8,1.8,3.0,2,26.61
